,Accuracy,Precision,Recall,F1,AUC
LogisticRegression,0.8097826086956522,0.8252427184466019,0.8333333333333334,0.8292682926829268,0.8867766618842658
RandomForest,0.8478260869565217,0.8557692307692307,0.8725490196078431,0.8640776699029126,0.9173840267814443
XGBoost,0.8478260869565217,0.8490566037735849,0.8823529411764706,0.8653846153846154,0.8923959827833573
SVM,0.842391304347826,0.8348623853211009,0.8921568627450981,0.8625592417061612,0.9149928263988522
